Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Purchase Amount (USD),Season,Review Rating,Subscription Status,Shipping Type,Promo Code Used,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
21,21,Male,Pants,Clothing,Louisiana,M,Black,51,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
22,31,Male,Pants,Clothing,North Carolina,M,Charcoal,62,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,56,Male,Pants,Clothing,California,M,Peach,37,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
24,31,Male,Pants,Clothing,Oklahoma,XL,White,88,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
25,18,Male,Jacket,Outerwear,Florida,M,Green,22,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
26,18,Male,Hoodie,Clothing,Texas,M,Silver,25,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
27,38,Male,Jewelry,Accessories,Nevada,M,Red,20,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,56,Male,Shorts,Clothing,Kentucky,L,Cyan,56,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
29,54,Male,Handbag,Accessories,North Carolina,M,Gray,94,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
30,31,Male,Dress,Clothing,Wyoming,S,Black,48,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,Male,Jewelry,Accessories,North Carolina,L,Black,31,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,Male,Dress,Clothing,West Virginia,L,Brown,79,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,36,Male,Jacket,Outerwear,Kansas,M,Silver,67,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
34,54,Male,Pants,Clothing,Colorado,L,Green,38,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,Male,T-shirt,Clothing,North Dakota,L,Violet,91,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,54,Male,Blouse,Clothing,Massachusetts,M,Cyan,33,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,Male,T-shirt,Clothing,Illinois,M,Maroon,69,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,35,Male,Jeans,Clothing,Indiana,S,Cyan,45,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,29,Male,Dress,Clothing,Florida,M,Red,37,Winter,,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,70,Male,Pants,Clothing,Arizona,S,Turquoise,60,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,69,Male,Handbag,Accessories,Louisiana,L,Beige,76,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,Male,Scarf,Accessories,Alaska,M,Orange,39,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
43,20,Male,Coat,Outerwear,Tennessee,M,Beige,100,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
44,25,Male,Scarf,Accessories,Ohio,L,Lavender,69,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,39,Male,Hat,Accessories,Kentucky,S,Silver,53,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,50,Male,Socks,Clothing,Tennessee,XL,Indigo,21,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,57,Male,Shirt,Clothing,California,L,White,43,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,Male,Jewelry,Accessories,Montana,M,Charcoal,54,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,Male,Shirt,Clothing,Nevada,M,Orange,55,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,Male,Hoodie,Clothing,New Jersey,S,Indigo,30,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,Maryland,M,Red,28,Spring,,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,Male,Skirt,Clothing,Vermont,XL,Gray,59,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,Alaska,M,Green,20,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,Male,Skirt,Clothing,Mississippi,S,Peach,24,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,Male,Coat,Outerwear,New Mexico,M,Brown,94,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,South Carolina,M,Lavender,28,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,Male,Backpack,Accessories,Mississippi,XL,Brown,73,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,Male,Coat,Outerwear,West Virginia,M,White,64,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,Male,Hoodie,Clothing,Missouri,M,Charcoal,54,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,63,Male,Belt,Accessories,Louisiana,L,Yellow,79,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,Male,Sweater,Clothing,Idaho,L,Brown,37,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
62,55,Male,Scarf,Accessories,Texas,M,Orange,68,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,30,Male,Sneakers,Footwear,Mississippi,S,Magenta,21,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,Male,Sunglasses,Accessories,Arizona,L,Lavender,79,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,Male,Boots,Footwear,Alabama,S,Green,83,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,Male,Backpack,Accessories,New Jersey,M,Purple,36,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
67,31,Male,Blouse,Clothing,Pennsylvania,S,Magenta,94,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
68,45,Male,Coat,Outerwear,Connecticut,L,Gray,33,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,Male,Handbag,Accessories,Utah,L,Silver,46,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,48,Male,Belt,Accessories,Tennessee,S,Cyan,70,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
71,22,Male,Belt,Accessories,Alabama,M,Magenta,29,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,Male,Dress,Clothing,Virginia,L,Gold,48,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
73,18,Male,Dress,Clothing,Georgia,M,Olive,26,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,48,Male,Pants,Clothing,Hawaii,M,Teal,85,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,49,Male,Gloves,Accessories,Indiana,L,Violet,58,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,64,Male,Scarf,Accessories,Utah,M,Blue,85,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,Male,Hat,Accessories,Delaware,S,Teal,43,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,22,Male,Dress,Clothing,Delaware,L,Gold,53,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,Nebraska,M,Maroon,91,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,38,Male,Jacket,Outerwear,Iowa,M,Olive,96,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,19,Male,Sandals,Footwear,New York,XL,Blue,72,Summer,,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,67,Male,Shoes,Footwear,Virginia,L,Maroon,96,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,19,Male,Pants,Clothing,Georgia,S,Olive,28,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36,Male,Dress,Clothing,Texas,M,Turquoise,40,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,52,Male,Coat,Outerwear,Arizona,S,Peach,32,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,53,Male,Sunglasses,Accessories,New Mexico,M,Charcoal,95,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,Male,Hoodie,Clothing,Nevada,L,Pink,41,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,52,Male,Shoes,Footwear,Ohio,M,Green,53,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,Male,T-shirt,Clothing,Wyoming,M,Orange,47,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,Male,Jacket,Outerwear,California,XL,Pink,83,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,Male,Hat,Accessories,South Carolina,L,Violet,48,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
92,44,Male,Scarf,Accessories,South Carolina,S,Green,99,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,Texas,M,Olive,87,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,37,Male,Sweater,Clothing,Florida,M,Purple,62,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,Male,Skirt,Clothing,Nevada,S,Silver,76,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,Male,Sneakers,Footwear,Missouri,L,Pink,100,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,32,Male,Gloves,Accessories,Delaware,S,Gold,73,Spring,,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
98,21,Male,Shoes,Footwear,Virginia,M,Teal,92,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,Male,Jeans,Clothing,New York,XL,Teal,67,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,26,Male,Hoodie,Clothing,Missouri,XL,Indigo,40,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,Male,Sunglasses,Accessories,South Dakota,M,Maroon,98,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
102,27,Male,Coat,Outerwear,North Dakota,XL,White,85,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,Male,Socks,Clothing,Oklahoma,L,Violet,67,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,Male,Boots,Footwear,West Virginia,L,Red,89,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
105,55,Male,Sunglasses,Accessories,New Hampshire,L,Pink,24,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,69,Male,Backpack,Accessories,New York,M,Charcoal,96,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,Male,Jacket,Outerwear,Minnesota,L,White,35,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,Male,Sneakers,Footwear,Maryland,L,Olive,67,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,70,Male,Socks,Clothing,Montana,L,Purple,79,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,Male,T-shirt,Clothing,Alabama,M,Violet,85,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,Male,Backpack,Accessories,New York,M,Black,26,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
112,26,Male,Belt,Accessories,Massachusetts,L,Purple,75,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,Male,Gloves,Accessories,Florida,M,Red,65,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
114,44,Male,Hat,Accessories,New Jersey,L,Maroon,54,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,70,Male,Coat,Outerwear,Massachusetts,S,Blue,95,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,Male,Skirt,Clothing,Wyoming,M,Gray,94,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,55,Male,Shoes,Footwear,Virginia,S,Blue,86,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
118,50,Male,Sandals,Footwear,South Dakota,L,Yellow,32,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
119,50,Male,Sweater,Clothing,Kentucky,L,Orange,45,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,38,Male,Coat,Outerwear,Wyoming,M,Orange,76,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
121,64,Male,Hat,Accessories,West Virginia,L,Red,84,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
122,19,Male,Shorts,Clothing,Virginia,M,Olive,72,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,Male,Backpack,Accessories,Washington,L,Brown,40,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,Male,Sweater,Clothing,Louisiana,L,Brown,89,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,Male,Sweater,Clothing,Nevada,M,Gray,86,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
126,49,Male,Shorts,Clothing,California,M,Indigo,54,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
127,43,Male,Shorts,Clothing,Mississippi,L,Pink,36,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24,Male,Sweater,Clothing,Mississippi,M,Gray,89,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,Male,Scarf,Accessories,California,M,Gold,32,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,Male,Dress,Clothing,Pennsylvania,XL,Olive,67,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
131,44,Male,Scarf,Accessories,Kentucky,L,Violet,39,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,28,Male,Skirt,Clothing,Maine,L,Indigo,29,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,Male,Backpack,Accessories,New Mexico,M,Orange,58,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,52,Male,Sweater,Clothing,Montana,M,Violet,65,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
135,43,Male,Hat,Accessories,Texas,L,Gray,94,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,Male,Sandals,Footwear,Kansas,M,Purple,81,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
137,39,Male,Blouse,Clothing,South Carolina,M,White,86,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,Male,Sneakers,Footwear,Colorado,M,Turquoise,43,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,68,Male,Skirt,Clothing,Georgia,M,Maroon,29,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,Male,Coat,Outerwear,Florida,M,White,95,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
141,63,Male,Shirt,Clothing,North Carolina,L,Yellow,28,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,Male,Gloves,Accessories,Virginia,M,Turquoise,46,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,37,Male,Jacket,Outerwear,Nebraska,L,Violet,58,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,Male,Coat,Outerwear,Missouri,M,Beige,48,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,19,Male,Shoes,Footwear,New Jersey,M,Silver,43,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
146,24,Male,Jewelry,Accessories,Missouri,M,Teal,95,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,Male,Skirt,Clothing,Colorado,S,Black,30,Fall,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
148,63,Male,Shoes,Footwear,Idaho,M,Purple,64,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,37,Male,Gloves,Accessories,Wyoming,M,Gray,90,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,38,Male,Pants,Clothing,Delaware,M,White,76,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
151,35,Male,Boots,Footwear,California,L,Cyan,96,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,28,Male,Sunglasses,Accessories,North Dakota,L,Turquoise,47,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
153,30,Male,Shirt,Clothing,South Carolina,S,Brown,85,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
154,69,Male,Hoodie,Clothing,North Carolina,M,Maroon,55,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
155,41,Male,Dress,Clothing,Oklahoma,M,Charcoal,98,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
156,63,Male,Socks,Clothing,Maine,S,Olive,77,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
157,35,Male,Shorts,Clothing,Missouri,M,Lavender,26,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
158,36,Male,Hat,Accessories,Vermont,S,Yellow,68,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
159,25,Male,Shirt,Clothing,Connecticut,XL,Teal,73,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
160,58,Male,Gloves,Accessories,New Hampshire,M,Charcoal,27,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
161,27,Male,Gloves,Accessories,Texas,M,Orange,23,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
162,65,Male,Backpack,Accessories,North Dakota,M,Olive,49,Fall,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly
163,54,Male,Sunglasses,Accessories,California,M,Turquoise,74,Summer,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
164,54,Male,Skirt,Clothing,Virginia,M,Purple,67,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
165,59,Male,Handbag,Accessories,Delaware,S,Purple,65,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
166,42,Male,Handbag,Accessories,Kentucky,S,Yellow,60,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
167,46,Male,Sneakers,Footwear,Delaware,XL,Indigo,31,Fall,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
168,33,Male,Gloves,Accessories,Arkansas,M,Green,27,Fall,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
169,34,Male,Shoes,Footwear,Louisiana,M,Magenta,80,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
170,27,Male,Jacket,Outerwear,Nevada,S,Gold,30,Summer,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
171,52,Male,Shirt,Clothing,Wyoming,M,Maroon,25,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
172,29,Male,Shorts,Clothing,Virginia,M,Blue,35,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
173,54,Male,Jewelry,Accessories,Nebraska,M,Violet,67,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
174,25,Male,Hat,Accessories,Hawaii,M,Turquoise,46,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
175,41,Male,Shoes,Footwear,Vermont,L,Brown,35,Winter,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
176,53,Male,Coat,Outerwear,Oklahoma,L,Violet,86,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
177,53,Male,Backpack,Accessories,New Hampshire,L,Black,81,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
178,21,Male,Hoodie,Clothing,Kansas,L,Magenta,42,Fall,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
179,61,Male,Skirt,Clothing,Idaho,L,Lavender,43,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly
180,64,Male,Boots,Footwear,Illinois,M,Violet,31,Fall,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly
181,51,Male,Sandals,Footwear,South Dakota,L,Green,81,Fall,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
182,32,Male,Pants,Clothing,Massachusetts,M,Beige,61,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
183,38,Male,Gloves,Accessories,Alabama,XL,Purple,96,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
184,58,Male,Skirt,Clothing,Ohio,XL,Beige,29,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
185,32,Male,Sneakers,Footwear,Hawaii,L,Cyan,33,Spring,3,Yes,Express,Yes,Yes,40,Cash,Fortnightly
186,46,Male,T-shirt,Clothing,Wisconsin,XL,Silver,32,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly
187,39,Male,Backpack,Accessories,Minnesota,S,Lavender,56,Summer,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually
188,19,Male,Shoes,Footwear,Georgia,S,Purple,94,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
189,50,Male,Hoodie,Clothing,Arkansas,M,Pink,53,Spring,3.1,Yes,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly
190,36,Male,Blouse,Clothing,West Virginia,M,Maroon,82,Fall,4.4,Yes,Next Day Air,Yes,Yes,4,Credit Card,Weekly
191,65,Male,Coat,Outerwear,Indiana,XL,Beige,70,Fall,3,Yes,Free Shipping,Yes,Yes,48,Venmo,Quarterly
192,64,Male,Hat,Accessories,Utah,M,Gray,76,Fall,3.9,Yes,Free Shipping,Yes,Yes,29,Cash,Every 3 Months
193,46,Male,Shoes,Footwear,Nebraska,L,Turquoise,29,Summer,2.9,Yes,Express,Yes,Yes,12,PayPal,Bi-Weekly
194,36,Male,Belt,Accessories,North Dakota,S,Silver,100,Fall,3,Yes,Standard,Yes,Yes,29,Venmo,Annually
195,51,Male,Backpack,Accessories,Missouri,M,Olive,94,Spring,3.1,Yes,Express,Yes,Yes,15,Debit Card,Quarterly
196,51,Male,Jacket,Outerwear,New York,M,Magenta,25,Fall,4.3,Yes,Free Shipping,Yes,Yes,34,Credit Card,Monthly
